administrative_division_code,WKT
08217,POINT (140.0801 35.91287)
08219,POINT (140.1857 35.97177)
08220,POINT (140.0817 36.10527)
08221,POINT (140.559 36.39632)
08222,POINT (140.6218 35.99921)
08223,POINT (140.5613 35.96191)
08224,POINT (139.9754 35.94797)
08225,POINT (140.3399 36.61369)
08226,POINT (140.476 36.46837)
08227,POINT (139.9869 36.28937)
08228,POINT (139.8879 36.06382)
08229,POINT (140.372 35.94865)
08230,POINT (140.2994 36.10985)
08231,POINT (140.1079 36.3275)
08232,POINT (140.7118 35.85111)
08233,POINT (140.4682 36.06606)
08234,POINT (140.5197 36.17355)
08235,POINT (140.0381 35.98201)
08236,POINT (140.3598 36.20395)
08302,POINT (140.4341 36.28047)
08309,POINT (140.5546 36.29732)
08310,POINT (140.3095 36.47975)
08341,POINT (140.5809 36.46054)
08364,POINT (140.3457 36.79796)
08442,POINT (140.3322 36.01843)
08443,POINT (140.2255 36.01414)
08447,POINT (140.2798 35.88274)
08521,POINT (139.8937 36.17839)
08542,POINT (139.7486 36.10803)
08546,POINT (139.8109 36.11015)
08564,POINT (140.1679 35.86609)
09201,POINT (139.8866 36.59683)
09202,POINT (139.453 36.3593)
09203,POINT (139.6895 36.37287)
09204,POINT (139.5358 36.42401)
09205,POINT (139.6415 36.5755)
09206,POINT (139.5811 36.81874)
09208,POINT (139.8019 36.308)
09209,POINT (139.9968 36.42486)
09210,POINT (140.1191 36.86131)
09211,POINT (139.8981 36.82745)
09213,POINT (139.9106 36.99082)
09214,POINT (140.0029 36.72362)
09215,POINT (140.1341 36.6627)
09216,POINT (139.8613 36.40196)
09301,POINT (139.9106 36.44548)
09342,POINT (140.1099 36.46044)
09343,POINT (140.1899 36.52162)
09344,POINT (140.1043 36.559)
09345,POINT (140.0406 36.55197)
09361,POINT (139.805 36.45753)
09364,POINT (139.7379 36.22889)
09384,POINT (139.8152 36.79646)
09386,POINT (140.0168 36.6301)
09407,POINT (140.0926 37.04288)
09411,POINT (140.1835 36.75417)
10201,POINT (139.1275 36.4321)
10202,POINT (138.901 36.37636)
10203,POINT (139.3061 36.48374)
10204,POINT (139.2182 36.32125)
10205,POINT (139.3393 36.30636)
10206,POINT (139.1835 36.67373)
10207,POINT (139.5353 36.24598)
10208,POINT (139.0145 36.52915)
10209,POINT (138.9991 36.19213)
10210,POINT (138.8462 36.25852)
10211,POINT (138.7765 36.34081)
10212,POINT (139.3472 36.5304)
10344,POINT (138.9568 36.44312)
10345,POINT (138.9982 36.44998)
10366,POINT (138.7201 36.06528)
10367,POINT (138.8657 36.11168)
10382,POINT (138.7228 36.22714)
10383,POINT (138.6857 36.16174)
10384,POINT (138.9033 36.20991)
10421,POINT (138.7219 36.65453)
10424,POINT (138.626 36.50504)
10425,POINT (138.4939 36.5164)
10426,POINT (138.5752 36.6181)
10428,POINT (138.9417 36.6219)
10429,POINT (138.7852 36.52643)
10443,POINT (139.2608 36.84155)
10444,POINT (139.1293 36.73102)
10448,POINT (139.1008 36.61265)
10449,POINT (139.0047 36.8322)
10464,POINT (139.1263 36.30222)
10521,POINT (139.6202 36.22883)
10522,POINT (139.5342 36.20692)
10523,POINT (139.4502 36.213)
10524,POINT (139.407 36.24972)
10525,POINT (139.4613 36.2551)
11101,POINT (139.575 35.90932)
11102,POINT (139.6151 35.93911)
11103,POINT (139.6239 35.90646)
11104,POINT (139.6663 35.92707)
11105,POINT (139.6248 35.88132)
11106,POINT (139.6073 35.86017)
11107,POINT (139.6532 35.87334)
11108,POINT (139.6604 35.84616)
11109,POINT (139.7013 35.88449)
11110,POINT (139.7132 35.94441)
11201,POINT (139.4792 35.9115)
11202,POINT (139.3726 36.16027)
11203,POINT (139.7331 35.83314)
11206,POINT (139.4699 36.14801)
11207,POINT (138.9334 35.95967)
11208,POINT (139.4579 35.79946)
11209,POINT (139.2201 35.88818)
11210,POINT (139.62 36.13659)
11211,POINT (139.1462 36.19925)
11212,POINT (139.3914 36.03183)
11214,POINT (139.7757 35.9827)
11215,POINT (139.4208 35.85882)
11216,POINT (139.5534 36.17251)
11217,POINT (139.5035 36.07886)
11218,POINT (139.2657 36.18067)
11219,POINT (139.5816 35.97043)
11221,POINT (139.8022 35.83869)
11222,POINT (139.7902 35.90108)
11223,POINT (139.6861 35.82445)
11224,POINT (139.657 35.81477)
11225,POINT (139.3676 35.81801)
11227,POINT (139.5973 35.80919)
11228,POINT (139.5835 35.83699)
11229,POINT (139.6198 35.78935)
11230,POINT (139.5596 35.78942)
11231,POINT (139.55 36.00303)
11232,POINT (139.6495 36.07708)
11233,POINT (139.5304 36.02615)
11234,POINT (139.8394 35.81933)
11235,POINT (139.5545 35.85448)
11237,POINT (139.8718 35.83221)
11238,POINT (139.6498 36.00147)
11239,POINT (139.4002 35.96356)
11240,POINT (139.7402 36.07081)
11241,POINT (139.3945 35.93572)
11242,POINT (139.3393 35.8965)
11243,POINT (139.8609 35.89512)
11245,POINT (139.5152 35.86506)
11246,POINT (139.6676 36.02415)
11301,POINT (139.62 35.99784)
11324,POINT (139.5158 35.83291)
11326,POINT (139.3073 35.93501)
11327,POINT (139.2661 35.96061)
11341,POINT (139.3559 36.07038)
11342,POINT (139.3149 36.05642)
11343,POINT (139.2488 36.05474)
11346,POINT (139.4841 35.98399)
11347,POINT (139.4553 36.04432)
11348,POINT (139.3339 35.98776)
11349,POINT (139.2413 35.99894)
11361,POINT (139.1291 35.96885)
11362,POINT (139.0909 36.07845)
11363,POINT (139.1168 36.11752)
11365,POINT (138.9292 36.02155)
11369,POINT (139.1824 36.04624)
11381,POINT (139.1736 36.17174)
11383,POINT (139.0576 36.16086)
11385,POINT (139.1351 36.25062)
11408,POINT (139.2028 36.11132)
11442,POINT (139.7166 36.02265)
11464,POINT (139.7547 36.03411)
11465,POINT (139.8255 35.93641)
12000,POINT (139.9642 35.67168)
12101,POINT (140.1294 35.58437)
12102,POINT (140.0914 35.67636)
12103,POINT (140.1131 35.6486)
12104,POINT (140.2051 35.6104)
12105,POINT (140.2295 35.54458)
12106,POINT (140.0616 35.63354)
12202,POINT (140.7758 35.74293)
12203,POINT (139.9328 35.71882)
12204,POINT (140.0189 35.72653)
12205,POINT (139.8618 34.97162)
12206,POINT (139.9875 35.36983)
12207,POINT (139.9291 35.79574)
12208,POINT (139.8622 35.98514)
12210,POINT (140.3016 35.44981)
12211,POINT (140.3576 35.81545)
12212,POINT (140.2133 35.70619)
12213,POINT (140.3671 35.56517)
12215,POINT (140.6557 35.73424)
12216,POINT (140.0341 35.68089)
12217,POINT (139.9939 35.86015)
12218,POINT (140.2676 35.17517)
12219,POINT (140.1372 35.42487)
12220,POINT (139.9141 35.87336)
12221,POINT (140.105 35.7392)
12222,POINT (140.0651 35.86947)
12223,POINT (140.0777 35.12989)
12224,POINT (139.9988 35.77289)
12225,POINT (140.0242 35.26299)
12226,POINT (139.9006 35.22592)
12227,POINT (139.9018 35.64284)
12228,POINT (140.1791 35.67168)
12229,POINT (140.0177 35.41641)
12230,POINT (140.2969 35.6424)
12231,POINT (140.1803 35.79796)
12232,POINT (140.0601 35.80164)
12233,POINT (140.3408 35.72025)
12234,POINT (139.9284 35.03667)
12235,POINT (140.5537 35.69983)
12236,POINT (140.54 35.85346)
12237,POINT (140.4208 35.62397)
12238,POINT (140.3433 35.27776)
12239,POINT (140.3428 35.51283)
12322,POINT (140.278 35.72928)
12329,POINT (140.2427 35.84404)
12342,POINT (140.4084 35.88624)
12347,POINT (140.4711 35.75707)
12349,POINT (140.6732 35.81364)
12403,POINT (140.4338 35.53332)
12409,POINT (140.4102 35.7215)
12410,POINT (140.4947 35.66083)
12421,POINT (140.3708 35.36152)
12422,POINT (140.3022 35.3528)
12423,POINT (140.3577 35.40708)
12424,POINT (140.3793 35.4501)
12426,POINT (140.2134 35.44589)
12427,POINT (140.243 35.37519)
12441,POINT (140.2138 35.24287)
12443,POINT (140.3407 35.19643)
12463,POINT (139.8719 35.13242)
13000,POINT (140.1084 32.63634)
13101,POINT (139.7546 35.68766)
13102,POINT (139.7772 35.67113)
13103,POINT (139.7396 35.65168)
13104,POINT (139.709 35.70107)
13105,POINT (139.7473 35.71746)
13106,POINT (139.786 35.71548)
13107,POINT (139.8155 35.71221)
13108,POINT (139.8145 35.65433)
13109,POINT (139.733 35.60974)
13110,POINT (139.6882 35.62997)
13111,POINT (139.7333 35.56847)
13112,POINT (139.6351 35.63971)
13113,POINT (139.6963 35.66788)
13114,POINT (139.6625 35.71092)
13115,POINT (139.6254 35.69682)
13116,POINT (139.7116 35.73153)
13117,POINT (139.7289 35.7659)
13118,POINT (139.7813 35.73993)
13119,POINT (139.6765 35.77257)
13120,POINT (139.6177 35.74785)
13121,POINT (139.7951 35.77881)
13122,POINT (139.8557 35.75324)
13123,POINT (139.8756 35.69234)
13201,POINT (139.2877 35.65982)
13202,POINT (139.4045 35.71447)
13203,POINT (139.5616 35.70814)
13204,POINT (139.5604 35.68467)
13205,POINT (139.242 35.80359)
13206,POINT (139.4832 35.6705)
13207,POINT (139.3642 35.70783)
13208,POINT (139.5522 35.65769)
13209,POINT (139.4304 35.57615)
13210,POINT (139.511 35.70109)
13211,POINT (139.4817 35.72739)
13212,POINT (139.3986 35.66333)
13213,POINT (139.4724 35.75923)
13214,POINT (139.4612 35.70552)
13215,POINT (139.4388 35.68634)
13218,POINT (139.3364 35.73603)
13219,POINT (139.5772 35.63487)
13220,POINT (139.4266 35.75031)
13221,POINT (139.5222 35.78144)
13222,POINT (139.5199 35.75388)
13223,POINT (139.3839 35.75036)
13224,POINT (139.4399 35.63059)
13225,POINT (139.4929 35.63291)
13227,POINT (139.3154 35.76404)
13228,POINT (139.2254 35.73283)
13229,POINT (139.5462 35.73486)
13303,POINT (139.3493 35.77426)
13305,POINT (139.2264 35.75872)
13307,POINT (139.1045 35.72501)
13308,POINT (139.0555 35.82257)
13361,POINT (139.3988 34.7375)
13362,POINT (139.2792 34.52241)
13363,POINT (139.2593 34.3711)
13364,POINT (139.1477 34.21418)
13381,POINT (139.521 34.08501)
13382,POINT (139.603 33.87472)
13401,POINT (139.7932 33.10725)
13402,POINT (139.7665 32.45736)
13421,POINT (142.0043 26.20617)
14101,POINT (139.6774 35.50055)
14102,POINT (139.619 35.48554)
14103,POINT (139.6186 35.4568)
14104,POINT (139.6588 35.42809)
14105,POINT (139.6019 35.42842)
14106,POINT (139.5783 35.46122)
14107,POINT (139.6141 35.39231)
14108,POINT (139.6232 35.34891)
14109,POINT (139.6228 35.528)
14110,POINT (139.5312 35.40326)
14111,POINT (139.5783 35.39418)
14112,POINT (139.5275 35.47652)
