administrative_division_code,secondary_medical_area_code,secondary_medical_area_name
40202,4008,有明
40203,4006,久留米
40204,4010,直方・鞍手
40205,4009,飯塚
40206,4011,田川
40207,4008,有明
40210,4007,八女・筑後
40211,4007,八女・筑後
40212,4006,久留米
40213,4013,京築
40214,4013,京築
40215,4012,北九州
40216,4006,久留米
40217,4004,筑紫
40218,4004,筑紫
40219,4004,筑紫
40220,4003,宗像
40221,4004,筑紫
40223,4002,粕屋
40224,4003,宗像
40225,4006,久留米
40226,4010,直方・鞍手
40227,4009,飯塚
40228,4005,朝倉
40229,4008,有明
40230,4001,福岡・糸島
40231,4004,筑紫
40341,4002,粕屋
40342,4002,粕屋
40343,4002,粕屋
40344,4002,粕屋
40345,4002,粕屋
40348,4002,粕屋
40349,4002,粕屋
40381,4012,北九州
40382,4012,北九州
40383,4012,北九州
40384,4012,北九州
40401,4010,直方・鞍手
40402,4010,直方・鞍手
40421,4009,飯塚
40447,4005,朝倉
40448,4005,朝倉
40503,4006,久留米
40522,4006,久留米
40544,4007,八女・筑後
40601,4011,田川
40602,4011,田川
40604,4011,田川
40605,4011,田川
40608,4011,田川
40609,4011,田川
40610,4011,田川
40621,4013,京築
40625,4013,京築
40642,4013,京築
40646,4013,京築
40647,4013,京築
41201,4101,中部
41202,4103,北部
41203,4102,東部
41204,4101,中部
41205,4104,西部
41206,4105,南部
41207,4105,南部
41208,4101,中部
41209,4105,南部
41210,4101,中部
41327,4101,中部
41341,4102,東部
41345,4102,東部
41346,4102,東部
41387,4103,北部
41401,4104,西部
41423,4105,南部
41424,4105,南部
41425,4105,南部
41441,4105,南部
42201,4201,長崎
42202,4202,佐世保県北
42203,4204,県南
42204,4203,県央
42205,4203,県央
42207,4202,佐世保県北
42208,4202,佐世保県北
42209,4209,対馬
42210,4208,壱岐
42211,4206,五島
