administrative_division_code,secondary_medical_area_code,secondary_medical_area_name
38442,3805,八幡浜・大洲
38484,3806,宇和島
38488,3806,宇和島
38506,3806,宇和島
39201,3902,中央
39202,3901,安芸
39203,3901,安芸
39204,3902,中央
39205,3902,中央
39206,3903,高幡
39208,3904,幡多
39209,3904,幡多
39210,3904,幡多
39211,3902,中央
39212,3902,中央
39301,3901,安芸
39302,3901,安芸
39303,3901,安芸
39304,3901,安芸
39305,3901,安芸
39306,3901,安芸
39307,3901,安芸
39341,3902,中央
39344,3902,中央
39363,3902,中央
39364,3902,中央
39386,3902,中央
39387,3902,中央
39401,3903,高幡
39402,3902,中央
39403,3902,中央
39405,3903,高幡
39410,3902,中央
39411,3903,高幡
39412,3903,高幡
39424,3904,幡多
39427,3904,幡多
39428,3904,幡多
40101,4012,北九州
40103,4012,北九州
40105,4012,北九州
40106,4012,北九州
40107,4012,北九州
40108,4012,北九州
40109,4012,北九州
40131,4001,福岡・糸島
40132,4001,福岡・糸島
40133,4001,福岡・糸島
40134,4001,福岡・糸島
40135,4001,福岡・糸島
40136,4001,福岡・糸島
40137,4001,福岡・糸島
