administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
28204,西宮市,2811,阪神,1
28205,洲本市,2810,淡路,1
28206,芦屋市,2811,阪神,1
28207,伊丹市,2811,阪神,1
28208,相生市,2812,播磨姫路,1
28209,豊岡市,2808,但馬,1
28210,加古川市,2804,東播磨,1
28212,赤穂市,2812,播磨姫路,1
28213,西脇市,2805,北播磨,1
28214,宝塚市,2811,阪神,1
28215,三木市,2805,北播磨,1
28216,高砂市,2804,東播磨,1
28217,川西市,2811,阪神,1
28218,小野市,2805,北播磨,1
28219,三田市,2811,阪神,1
28220,加西市,2805,北播磨,1
28221,丹波篠山市,2809,丹波,1
28222,養父市,2808,但馬,1
28223,丹波市,2809,丹波,1
28224,南あわじ市,2810,淡路,1
28225,朝来市,2808,但馬,1
28226,淡路市,2810,淡路,1
28227,宍粟市,2812,播磨姫路,1
28228,加東市,2805,北播磨,1
28229,たつの市,2812,播磨姫路,1
28301,猪名川町,2811,阪神,1
28365,多可町,2805,北播磨,1
28381,稲美町,2804,東播磨,1
28382,播磨町,2804,東播磨,1
28442,市川町,2812,播磨姫路,1
28443,福崎町,2812,播磨姫路,1
28446,神河町,2812,播磨姫路,1
28464,太子町,2812,播磨姫路,1
28481,上郡町,2812,播磨姫路,1
28501,佐用町,2812,播磨姫路,1
28585,香美町,2808,但馬,1
28586,新温泉町,2808,但馬,1
29201,奈良市,2901,奈良,1
29202,大和高田市,2904,中和,1
29203,大和郡山市,2903,西和,1
29204,天理市,2902,東和,1
29205,橿原市,2904,中和,1
29206,桜井市,2902,東和,1
29207,五條市,2905,南和,1
29208,御所市,2904,中和,1
29209,生駒市,2903,西和,1
29210,香芝市,2904,中和,1
29211,葛城市,2904,中和,1
29212,宇陀市,2902,東和,1
29322,山添村,2902,東和,1
29342,平群町,2903,西和,1
29343,三郷町,2903,西和,1
29344,斑鳩町,2903,西和,1
29345,安堵町,2903,西和,1
29361,川西町,2902,東和,1
29362,三宅町,2902,東和,1
29363,田原本町,2902,東和,1
29385,曽爾村,2902,東和,1
29386,御杖村,2902,東和,1
29401,高取町,2904,中和,1
29402,明日香村,2904,中和,1
29424,上牧町,2903,西和,1
29425,王寺町,2903,西和,1
29426,広陵町,2904,中和,1
29427,河合町,2903,西和,1
29441,吉野町,2905,南和,1
29442,大淀町,2905,南和,1
29443,下市町,2905,南和,1
29444,黒滝村,2905,南和,1
29446,天川村,2905,南和,1
29447,野迫川村,2905,南和,1
29449,十津川村,2905,南和,1
29450,下北山村,2905,南和,1
29451,上北山村,2905,南和,1
29452,川上村,2905,南和,1
29453,東吉野村,2905,南和,1
30201,和歌山市,3001,和歌山,1
30202,海南市,3001,和歌山,1
30203,橋本市,3003,橋本,1
30204,有田市,3004,有田,1
30205,御坊市,3005,御坊,1
30206,田辺市,3006,田辺,1
30207,新宮市,3007,新宮,1
30208,紀の川市,3002,那賀,1
30209,岩出市,3002,那賀,1
30304,紀美野町,3001,和歌山,1
30341,かつらぎ町,3003,橋本,1
30343,九度山町,3003,橋本,1
30344,高野町,3003,橋本,1
30361,湯浅町,3004,有田,1
30362,広川町,3004,有田,1
30366,有田川町,3004,有田,1
30381,美浜町,3005,御坊,1
30382,日高町,3005,御坊,1
30383,由良町,3005,御坊,1
30390,印南町,3005,御坊,1
30391,みなべ町,3006,田辺,1
30392,日高川町,3005,御坊,1
30401,白浜町,3006,田辺,1
30404,上富田町,3006,田辺,1
30406,すさみ町,3006,田辺,1
30421,那智勝浦町,3007,新宮,1
30422,太地町,3007,新宮,1
30424,古座川町,3007,新宮,1
30427,北山村,3007,新宮,1
30428,串本町,3007,新宮,1
31201,鳥取市,3101,東部,1
31202,米子市,3103,西部,1
